  Upd     Win   Draw   Loss    π-loss   V-loss       H    Buf      s
────────────────────────────────────────────────────────────────────
    1   45.0%   0.0%  55.0%   -0.0098   0.2634  3.2986  11810    5.2
    2   35.0%  10.0%  55.0%   -0.0374   0.2606  3.3055  11416    2.5
    3   45.0%   0.0%  55.0%   -0.0433   0.2546  3.2986  11192    2.4
    4   55.0%   0.0%  45.0%   -0.0469   0.2536  3.2925  11304    2.9
    5   40.0%   0.0%  60.0%   -0.0512   0.2471  3.2784  11536    2.8
    6   45.0%   0.0%  55.0%   -0.0510   0.2357  3.2752  11319    2.6
    7   60.0%   0.0%  40.0%   -0.0520   0.2598  3.2713  11368    2.6
    8   55.0%   0.0%  45.0%   -0.0483   0.2742  3.2715  10891    2.7
    9   70.0%   0.0%  30.0%   -0.0525   0.2682  3.2704  10697    2.3
   10   48.5%   2.5%  49.0%   -0.0518   0.2638  3.2639  11026    2.6
   11   30.0%   5.0%  65.0%   -0.0502   0.2503  3.2567  11179    2.4
   12   70.0%   0.0%  30.0%   -0.0536   0.2855  3.2616  10960    2.4
   13   35.0%   0.0%  65.0%   -0.0523   0.2577  3.2526  11173    2.7
   14   75.0%   0.0%  25.0%   -0.0523   0.2530  3.2507  11002    2.4
   15   45.0%   0.0%  55.0%   -0.0554   0.2579  3.2531  10646    2.3
   16   55.0%   0.0%  45.0%   -0.0505   0.2728  3.2434  11141    2.5
   17   70.0%   0.0%  30.0%   -0.0544   0.2859  3.2451  10769    2.6
   18   60.0%   0.0%  40.0%   -0.0578   0.2716  3.2441  10626    2.3
   19   70.0%   0.0%  30.0%   -0.0553   0.2917  3.2533  10175    2.1
   20   57.5%   3.5%  39.0%   -0.0526   0.2784  3.2316  10970    2.3
   21   65.0%   0.0%  35.0%   -0.0563   0.2894  3.2422  10231    2.3
   22   75.0%   0.0%  25.0%   -0.0506   0.2505  3.2200  11263    2.6
   23   65.0%   0.0%  35.0%   -0.0552   0.2971  3.2332  10171    2.1
   24   55.0%   0.0%  45.0%   -0.0561   0.2878  3.2299  10093    2.1
   25   60.0%   0.0%  40.0%   -0.0574   0.2897  3.2302   9960    2.1
   26   50.0%   0.0%  50.0%   -0.0577   0.2653  3.2103  10981    2.3
   27   70.0%   0.0%  30.0%   -0.0617   0.2708  3.2185  10259    2.8
   28   65.0%   0.0%  35.0%   -0.0561   0.2695  3.2058  10710    2.3
   29   75.0%   0.0%  25.0%   -0.0612   0.2892  3.2019  10299    2.3
   30   57.5%   1.0%  41.5%   -0.0567   0.2865  3.2027  10054    2.1
   31   50.0%   0.0%  50.0%   -0.0569   0.2950  3.1923   9852    2.1
   32   65.0%   0.0%  35.0%   -0.0581   0.2800  3.1780  10986    2.7
   33   55.0%   0.0%  45.0%   -0.0579   0.2858  3.1760  10832    2.5
   34  100.0%   0.0%   0.0%   -0.0641   0.2765  3.1788  10373    2.3
   35   45.0%   0.0%  55.0%   -0.0609   0.2912  3.1777  10235    2.2
   36   70.0%   0.0%  30.0%   -0.0584   0.2967  3.1735  10157    2.3
   37   85.0%   0.0%  15.0%   -0.0609   0.2981  3.1784   9600    2.2
   38   60.0%   0.0%  40.0%   -0.0618   0.2991  3.1797   9129    1.9
   39   70.0%   0.0%  30.0%   -0.0628   0.2917  3.1620   9858    2.3
   40   71.5%   0.5%  28.0%   -0.0605   0.2828  3.1617   9854    2.1
   41   50.0%   5.0%  45.0%   -0.0640   0.2997  3.1659   9557    2.1
   42   85.0%   0.0%  15.0%   -0.0590   0.3118  3.1757   8651    2.0
   43   70.0%   5.0%  25.0%   -0.0602   0.3003  3.1662   9087    1.9
   44   55.0%   0.0%  45.0%   -0.0594   0.3129  3.1491   9942    2.1
   45   65.0%   0.0%  35.0%   -0.0604   0.3172  3.1633   8721    2.0
   46   70.0%   5.0%  25.0%   -0.0602   0.3299  3.1613   8825    1.9
   47   70.0%   5.0%  25.0%   -0.0642   0.3068  3.1493   9295    2.3
