update,win_rate,draw_rate,loss_rate,policy_loss,value_loss,entropy,buffer_size,seconds
1,0.5,0.05,0.45,-0.04923634372905574,0.5518003492192789,3.308882637457414,5881,36.23942724999506
2,0.7,0.0,0.3,-0.06717921746894717,0.4642022614451972,3.298218109390952,5690,36.79821687506046
3,0.65,0.0,0.35,-0.06297591420694847,0.5175857015631415,3.2869107154282657,5852,42.03928799997084
4,0.55,0.05,0.4,-0.06395691244498543,0.4817157744065575,3.273398466732191,6003,37.7545382080134
5,0.3,0.05,0.65,-0.06885930429131765,0.4242958580346211,3.264880175175874,5888,37.65990587498527
6,0.55,0.05,0.4,-0.06506317484435505,0.43893442432517593,3.2573003095129263,5897,37.11414154106751
7,0.65,0.0,0.35,-0.06470088545271817,0.4931772033063074,3.246805004775524,6167,38.08121999993455
8,0.5,0.05,0.45,-0.06524433978748592,0.41843309896913444,3.244689843871377,5640,39.01398450008128
9,0.6,0.0,0.4,-0.06244300494132483,0.44966657249175984,3.231571959412616,6016,36.72486700001173
10,0.565,0.01,0.425,-0.06637640245279054,0.43997630979055946,3.2185521903245347,5983,36.43119137501344
11,0.55,0.0,0.45,-0.06575623286240127,0.43803828096260194,3.2112824709519097,5916,37.591311209020205
12,0.45,0.0,0.55,-0.06421101905405521,0.4073485431820154,3.1903829860687254,6478,40.473785833106376
13,0.45,0.05,0.5,-0.06215175149111968,0.43406441840140714,3.1886569028315335,6108,37.84869875002187
14,0.55,0.0,0.45,-0.06836236108337408,0.4198024522351182,3.186267964217974,6129,38.69946933304891
15,0.8,0.0,0.2,-0.0678386484823105,0.4435911048203707,3.1854802830652758,5728,37.46970025007613
16,0.65,0.0,0.35,-0.06632318555652587,0.40205129235982895,3.174342342398383,5832,35.14775037497748
17,0.8,0.0,0.2,-0.07150816612622955,0.4106432485648177,3.1845313120972025,5646,36.55442158295773
18,0.65,0.0,0.35,-0.06737574367296129,0.4164608002063774,3.17721122219449,5486,33.89756033301819
19,0.5,0.0,0.5,-0.06507263314383833,0.4446440288878005,3.1525850114615066,5945,36.22473545896355
20,0.605,0.015,0.38,-0.06879549156430931,0.42542082053564845,3.160765832378751,5586,34.354091582936235
21,0.7,0.0,0.3,-0.0661616300880585,0.47316581723482715,3.1336276194323665,6015,38.7845743750222
22,0.55,0.0,0.45,-0.06997502408921719,0.46245161951942876,3.1432615220546722,5634,36.742975375032984
