update,win_rate,draw_rate,loss_rate,policy_loss,value_loss,entropy,buffer_size,seconds
1,0.45,0.0,0.55,0.05898693305524913,0.8773791112683036,3.300092437050559,11325,75.37311120796949
2,0.45,0.0,0.55,0.03613106326454065,0.8540894849733873,3.3058670325712725,12240,78.09078020905145
3,0.5,0.1,0.4,-0.004770847841758619,0.8462559689174999,3.3025463711131704,11976,76.58645025000442
4,0.45,0.05,0.5,-0.002471595706248825,0.8667615462433208,3.3045357790860264,11606,71.43206966598518
5,0.5,0.0,0.5,-0.0053910032465037975,0.8266573358665813,3.29888898676092,11982,70.22874933294952
6,0.45,0.05,0.5,-0.005597405082715506,0.8419230038469488,3.305679527196017,11650,69.35143483290449
7,0.6,0.0,0.4,-0.007861899148503488,0.8457968072457747,3.2975857041098853,11949,70.53469133400358
8,0.7,0.05,0.25,-0.00748971544883468,0.8224273025989532,3.2960730357603594,11815,69.905403832905
9,0.6,0.0,0.4,-0.006486209913749586,0.8365578326311979,3.3036061200228604,11494,67.97936658305116
10,0.46,0.01,0.53,-0.007774300619282506,0.8370079587806355,3.2889598391272803,11868,70.10222112503834
11,0.7,0.0,0.3,-0.008697520602833141,0.8499993140047247,3.2886179143732246,11570,68.09457454201765
12,0.4,0.0,0.6,-0.007264892745297402,0.8413004249334335,3.296958827972412,11107,62.52145204099361
13,0.4,0.0,0.6,-0.007781119043515487,0.825214600021189,3.2814322276548906,11435,64.37257279199548
