hyperparameter,value
GAMMA,0.99
CLIP_EPS,0.2
LR,0.0001
VALUE_COEF,2
ENTROPY_COEF,0.01
N_EPOCHS,5
BATCH_SIZE,1024
GRAD_CLIP,1.0
EPISODES_PER_UPDATE,256
N_UPDATES,500
EVAL_INTERVAL,10
N_EVAL_GAMES,200

update,win_rate,draw_rate,loss_rate,policy_loss,value_loss,entropy,buffer_size,seconds
1,0.55,0.0,0.45,-0.008107728451829065,0.26970803331245075,3.3016341642899945,11342,7.010697375051677
2,0.45,0.1,0.45,-0.031589300716295836,0.26815209329128264,3.3173738956451415,10943,4.614539916976355
3,0.35,0.05,0.6,-0.04280260069803758,0.2504016250371933,3.2924753709272907,11606,4.767117500072345
4,0.5,0.0,0.5,-0.041000179685652255,0.2662236657738686,3.294533405303955,10950,4.472789708990604
5,0.45,0.0,0.55,-0.04596091610379517,0.2652054253220558,3.2944279384613036,10801,4.54811783391051
6,0.5,0.0,0.5,-0.049520807137543504,0.23908568729053845,3.2733204624869607,11295,4.903968582977541
7,0.6,0.0,0.4,-0.05034252908080816,0.2543597149848938,3.2685842227935793,11225,4.922229417017661
